stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
361,205009,"TORRANCE BL + JUANITA AV",,33.838367,-118.378758,,,,,,2
362,205007,"TORRANCE BL + CAMINO REAL HELBERTA AV",,33.837925,-118.382406,,,,,,2
363,205005,"TORRANCE BL + PACIFIC COAST HWY",,33.838381,-118.385747,,,,,,2
366,562043,"Hawthorne Bl at Pacific Coast Hwy",,33.805283,-118.350961,,,,,,2
367,562049,"Hawthorne Bl at Lomita Bl",,33.816517,-118.350914,,,,,,2
368,562055,"Hawthorne Bl at Sepulveda Bl",,33.826011,-118.351372,,,,,,2
369,642034,"Vermont Av at Torrance Bl",,33.842589,-118.289972,,,,,,2
370,652009,"Harbor Transitway at Rosecrans Av",,33.902044,-118.286533,,,,,,2
371,652011,"Harbor Transitway at Harbor Freeway Station",,33.928986,-118.280781,,,,,,2
372,652013,"Harbor Transitway at Manchester Bl",,33.960433,-118.280783,,,,,,2
373,652015,"Harbor Transitway at Slauson Av",,33.989024,-118.280463,,,,,,2
